year,month,date_of_month,day_of_week,births,date
2001,4,6,5,12407,4/6/2001
2001,4,7,6,8755,4/7/2001
2001,4,8,7,7718,4/8/2001
2001,4,9,1,11617,4/9/2001
2001,4,10,2,13031,4/10/2001
2001,4,11,3,12912,4/11/2001
2001,4,12,4,12733,4/12/2001
2001,4,13,5,10881,4/13/2001
2001,4,14,6,8262,4/14/2001
2001,4,15,7,7230,4/15/2001
2001,4,16,1,11220,4/16/2001
2001,4,17,2,12867,4/17/2001
2001,4,18,3,12381,4/18/2001
2001,4,19,4,12257,4/19/2001
2001,4,20,5,12296,4/20/2001
2001,4,21,6,8849,4/21/2001
2001,4,22,7,7758,4/22/2001
2001,4,23,1,11672,4/23/2001
2001,4,24,2,12981,4/24/2001
2001,4,25,3,12728,4/25/2001
2001,4,26,4,12560,4/26/2001
2001,4,27,5,12335,4/27/2001
2001,4,28,6,8574,4/28/2001
2001,4,29,7,7602,4/29/2001
2001,4,30,1,11416,4/30/2001
2001,5,1,2,13037,5/1/2001
2001,5,2,3,12542,5/2/2001
2001,5,3,4,12596,5/3/2001
2001,5,4,5,12276,5/4/2001
2001,5,5,6,8795,5/5/2001
2001,5,6,7,8001,5/6/2001
2001,5,7,1,11635,5/7/2001
2001,5,8,2,13032,5/8/2001
2001,5,9,3,12477,5/9/2001
2001,5,10,4,12632,5/10/2001
2001,5,11,5,12296,5/11/2001
2001,5,12,6,8692,5/12/2001
2001,5,13,7,7479,5/13/2001
2001,5,14,1,11577,5/14/2001
2001,5,15,2,13124,5/15/2001
2001,5,16,3,12625,5/16/2001
2001,5,17,4,12630,5/17/2001
2001,5,18,5,12313,5/18/2001
2001,5,19,6,8803,5/19/2001
2001,5,20,7,7732,5/20/2001
2001,5,21,1,11680,5/21/2001
2001,5,22,2,13047,5/22/2001
2001,5,23,3,12936,5/23/2001
2001,5,24,4,13179,5/24/2001
2001,5,25,5,12722,5/25/2001
2001,5,26,6,8911,5/26/2001
2001,5,27,7,7529,5/27/2001
2001,5,28,1,7993,5/28/2001
2001,5,29,2,12013,5/29/2001
2001,5,30,3,13334,5/30/2001
2001,5,31,4,13051,5/31/2001
2001,6,1,5,12677,6/1/2001
2001,6,2,6,8920,6/2/2001
2001,6,3,7,7887,6/3/2001
2001,6,4,1,11500,6/4/2001
2001,6,5,2,12683,6/5/2001
2001,6,6,3,12804,6/6/2001
2001,6,7,4,12566,6/7/2001
2001,6,8,5,12451,6/8/2001
2001,6,9,6,8756,6/9/2001
2001,6,10,7,7674,6/10/2001
2001,6,11,1,11776,6/11/2001
2001,6,12,2,13218,6/12/2001
2001,6,13,3,12342,6/13/2001
2001,6,14,4,12655,6/14/2001
2001,6,15,5,12394,6/15/2001
2001,6,16,6,8780,6/16/2001
2001,6,17,7,7722,6/17/2001
2001,6,18,1,11756,6/18/2001
2001,6,19,2,12785,6/19/2001
2001,6,20,3,12704,6/20/2001
2001,6,21,4,12615,6/21/2001
2001,6,22,5,12299,6/22/2001
2001,6,23,6,8452,6/23/2001
2001,6,24,7,7639,6/24/2001
2001,6,25,1,11575,6/25/2001
2001,6,26,2,12939,6/26/2001
2001,6,27,3,12809,6/27/2001
2001,6,28,4,13059,6/28/2001
2001,6,29,5,12922,6/29/2001
2001,6,30,6,9247,6/30/2001
2001,7,1,7,8145,7/1/2001
2001,7,2,1,12390,7/2/2001
2001,7,3,2,13364,7/3/2001
2001,7,4,3,9608,7/4/2001
2001,7,5,4,12531,7/5/2001
2001,7,6,5,13151,7/6/2001
2001,7,7,6,9544,7/7/2001
2001,7,8,7,8249,7/8/2001
2001,7,9,1,12036,7/9/2001
2001,7,10,2,13614,7/10/2001
2001,7,11,3,13026,7/11/2001
2001,7,12,4,13188,7/12/2001
2001,7,13,5,12187,7/13/2001
2001,7,14,6,9269,7/14/2001
2001,7,15,7,8047,7/15/2001
2001,7,16,1,12383,7/16/2001
2001,7,17,2,13657,7/17/2001
2001,7,18,3,13241,7/18/2001
2001,7,19,4,13293,7/19/2001
2001,7,20,5,12950,7/20/2001
2001,7,21,6,9410,7/21/2001
2001,7,22,7,8116,7/22/2001
2001,7,23,1,12099,7/23/2001
2001,7,24,2,13532,7/24/2001
2001,7,25,3,12988,7/25/2001
2001,7,26,4,13022,7/26/2001
2001,7,27,5,12677,7/27/2001
2001,7,28,6,9102,7/28/2001
2001,7,29,7,7892,7/29/2001
2001,7,30,1,12150,7/30/2001
2001,7,31,2,13218,7/31/2001
2001,8,1,3,12960,8/1/2001
2001,8,2,4,13097,8/2/2001
2001,8,3,5,12859,8/3/2001
2001,8,4,6,9143,8/4/2001
2001,8,5,7,8062,8/5/2001
2001,8,6,1,12008,8/6/2001
2001,8,7,2,13488,8/7/2001
2001,8,8,3,13185,8/8/2001
2001,8,9,4,13339,8/9/2001
2001,8,10,5,13094,8/10/2001
2001,8,11,6,9275,8/11/2001
2001,8,12,7,8261,8/12/2001
2001,8,13,1,11682,8/13/2001
2001,8,14,2,13325,8/14/2001
